"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"896403","Wendeburg Ehrenkamp",10.388995,52.326649,""
"896419","Zweidorf Peiner Straße",10.38433,52.326352,""
"896536","Wahle Schule",10.362989,52.269055,""
"896538","Wahle Siersser Straße",10.361075,52.271995,""
"894215","Apelnstedt Mühle",10.615344,52.199128,""
"921714","Groß Lafferde Volksbank",10.244197,52.227183,""
"921715","Groß Lafferde Post",10.236125,52.226563,""
"921713","Steinbrück(Hildesh) B 1",10.220016,52.220675,""
"921712","Steinbrück(Hildesh) Ort",10.216106,52.216324,""
"921710","Hoheneggelsen Ort",10.182261,52.208791,""
"921709","Hoheneggelsen Abzw. Mölme",10.174396,52.209502,""
"921708","Mölme",10.159483,52.216639,""
"921728","Oedelum",10.125045,52.225889,""
"921729","Bierbergen Schützenhaus",10.12055,52.24038,""
"921719","Bierbergen Dorfplatz",10.115462,52.243607,""
"909213","Hämelerwald Gut Adolfshof",10.113521,52.332699,""
"909218","Hämelerwald Scharlemann",10.113386,52.322109,""
"909212","Hämelerwald Wohnpark",10.106302,52.342785,""
"921726","Ahstedt",10.104999,52.203182,""
"903735","Mehrum Kraftwerk",10.094122,52.312482,""
"921517","Adlum Antoniusheim",10.068701,52.211641,""
"921516","Adlum Brinkstraße",10.067397,52.212729,""
"921952","Soßmar Ortsmitte",10.05892,52.243103,""
"921948","Harber(Peine)",10.050803,52.265747,""
"903714","Haimar Backhausplatz",10.05039,52.307088,""
"993714","Haimar Backhausplatz",10.050336,52.306927,""
"903721","Haimar Schladweg",10.048745,52.308985,""
"993721","Haimar Schladweg",10.048628,52.308338,""
"903711","Dolgen(NDS)",10.048529,52.318316,""
"993711","Dolgen(NDS)",10.048412,52.318262,""
"921515","Hüddessum Adlumer Straße",10.03847,52.204584,""
"921836","Hüddessum Gasthof Witte",10.034658,52.204009,""
"921945","Rautenberg Kirche",10.034416,52.220657,""
"921514","Hüddessum Hogesmühle",10.026622,52.205268,""
"903701","Evern",10.023961,52.316959,""
"993701","Evern",10.023449,52.316887,""
"903661","Klein Lobke",10.014451,52.285308,""
"993661","Klein Lobke",10.014262,52.28529,""
